File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
20210611-MF.lc96p	Abs Quant		A1	Sample 1	plasmid	13.92	26725075.9920297	Positive	Unchecked	Unknown		13.92	0	26725075.9920297	0		SYBR Green I	Unchecked	0.3881	2.02795711065434	None			1
20210611-MF.lc96p	Abs Quant		A2	Sample 2	plasmid	13.99	25474465.7175141	Positive	Unchecked	Unknown		13.99	0	25474465.7175141	0		SYBR Green I	Unchecked	0.3957	2.05281293077221	None			2
20210611-MF.lc96p	Abs Quant		A3	Sample 3	plasmid	12.66	63324024.9401058	Positive	Unchecked	Unknown		12.66	0	63324024.9401058	0		SYBR Green I	Unchecked	0.3735	1.94960336799474	None			3
20210611-MF.lc96p	Abs Quant		A4	Sample 4	plasmid	12.81	57143570.4969313	Positive	Unchecked	Unknown		12.81	0	57143570.4969313	0		SYBR Green I	Unchecked	0.3476	1.86935422292294	None			4
20210611-MF.lc96p	Abs Quant		A5	Sample 5	plasmid	8.31	1244518980.70015	Positive	Unchecked	Standard	1760000000	8.31	0	1244518980.70015	0		SYBR Green I	Unchecked	0.2227	1.31290868373863	None			5
20210611-MF.lc96p	Abs Quant		A7	Sample 7	genome	14.31	3660433.56109794	Positive	Unchecked	Unknown		14.31	0	3660433.56109794	0		SYBR Green I	Unchecked	0.4651	2.52313367828749	None			6
20210611-MF.lc96p	Abs Quant		A8	Sample 8	genome	14.35	3565479.42134468	Positive	Unchecked	Unknown		14.35	0	3565479.42134468	0		SYBR Green I	Unchecked	0.5411	2.75589957634881	None			7
20210611-MF.lc96p	Abs Quant		A9	Sample 9	genome	14.34	3588984.50062083	Positive	Unchecked	Unknown		14.34	0	3588984.50062083	0		SYBR Green I	Unchecked	0.5178	2.6546171856855	None			8
20210611-MF.lc96p	Abs Quant		A10	Sample 10	genome	14.58	3065377.86146253	Positive	Unchecked	Unknown		14.58	0	3065377.86146253	0		SYBR Green I	Unchecked	0.4474	2.44251003381221	None			9
20210611-MF.lc96p	Abs Quant		A11	Sample 11	genome	12.41	12756330.4596704	Positive	Unchecked	Standard	16400000	12.41	0	12756330.4596704	0		SYBR Green I	Unchecked	0.9277	3.70873120853567	None			10
20210611-MF.lc96p	Abs Quant		B1	Sample 13	plasmid	14.07	24116696.0791082	Positive	Unchecked	Unknown		14.07	0	24116696.0791082	0		SYBR Green I	Unchecked	0.4237	2.13762809251458	None			11
